Year,Female Director,Films,Genre
,Katherine Dieckmann,Strange Weather,Drama
,Elizabeth Wood,White Girl,Thriller
,Courtney Hunt,The Whole Truth,Thriller
,Ingrid Jungermann,Women Who Kill,thriller
2017,Zoe Lister-Jones,Band Aid,Rom-com
,Eliza Hittman,Beach Rats,Drama
,Sofia Coppola,The Beguiled,Thriller
,Sophie Brooks,The Boy Downstairs,Rom-com
,Kathryn Bigelow,Detroit,Thriller
,Jenée LaMarque,The Feels,Rom-com
,Angelina Jolie,First they Killed My Father,Thriller
,Pamela Romanowsky (co-directed),The Institute,Horror
,Karen Moncrieff,The Keeping Hours,Horror
,Greta Gerwig,Lady Bird,Rom-com
,Gillian Robespierre,Landline,Comedy
,Janicza Bravo,Lemon,Comedy
,Natalia Leite,M.F.A.,Thriller
,Maggie Betts,Novitiate,Drama
,Lynn Shelton,Outside In,Drama
,Angela Robinson,Professor Marston and the Wonder Women,Biography
,Chloé Zhao,The Rider,Documentary
,Lucia Aniello,Rough Night,Comedy
,Susanna White,Woman Walks Ahead,Biography
,Patty Jenkins,Wonder Woman,Action
,Niki Caro,The Zookeeper's Wife,Drama
2018,Eva Vives,All About Nina,Comedy
,Kay Cannon,Blockers,Comedy
,Marielle Heller,Can You Ever Forgive Me?,Biography
,Mary Harron,Charlie Says,Biography
,Karyn Kusama,Destroyer,Thriller
,Laura Steinel,Family,Comedy
,Olivia Newman,First Match,Drama
,Laurie Collyer,Furlough,Comedy
,Nicole Holofcener,The Land of Steady Habits,Comedy
,Debra Granik,Leave No Trace,Thriller
,Nia DaCosta,Little Woods,Thriller
,Hannah Fidell,The Long Dumb Road,Comedy
,Josephine Decker,Madeline's Madeline,Thriller
,Christina Choe,Nancy,Thriller
,Augustine Frizzell,Never Goin' Back,Comedy
,Jordana Spiro,Night Comes On,Drama
,Tamara Jenkins,Private Life,Comedy
,Jen McGowan,Rust Creek,Thriller
,Megan Griffiths,Sadie,Drama
,Susanna Fogel,The Spy Who Dumped Me,Action
,Meredith Danluck,State Like Sleep,Thriller
,Stacie Passon,We Have Always Lived in the Castle,Thriller
,Elizabeth Chomko,What They Had,Drama
,Emma Tammi,The Wind,Horror
2019,Marielle Heller,A Beautiful Day in the Neighborhood,Biography
,Nahnatchka Khan,Always Be My Maybe,Rom-com
,Sophia Takal,Black Christmas,Horror
,Roxanne Benjamin,Body at Brighton Rock,Horror
,Tanya Wexler,Buffaloed,Comedy
,Anna Boden ,Captain Marvel,Sci-fi
,Lulu Wang,The Farewell,Comedy
,Kelly Reichardt,First Cow,Drama
,Jennifer Lee,Frozen 2,Fanatasy
,Kasi Lemmons,Harriet,Biography
,Lorene Scafaria,Hustlers,Comedy
,Jennifer Reeder,Knives and Skin,Thriller
,Greta Gerwig,Little Women,Romance
,Catherine Hardwicke,Miss Bala,Thriller
,Ma?gorzata Szumowska,The Other Lam,Horror
